,SIG_CD,SIG_ENG_NM_x,forest,dem,x,y,slope,farm_cnt,NUMPOINTS,1,2,3,4,5,6,7,8,9,10,11,12,2019,2020,2021,2022,2023
89,26230,부산진구,1040,132.0633266,129.0430603,35.16524411,11.37557021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
90,26260,동래구,460,65.96359057,129.0792201,35.20621244,7.337357855,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
91,26260,동래구,460,65.96359057,129.0792201,35.20621244,7.337357855,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
92,26260,동래구,460,65.96359057,129.0792201,35.20621244,7.337357855,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
93,26290,남구,910,51.27381771,129.0943068,35.12554765,10.40910215,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
94,26290,남구,910,51.27381771,129.0943068,35.12554765,10.40910215,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
95,26290,남구,910,51.27381771,129.0943068,35.12554765,10.40910215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
96,26320,북구,2285,177.3271752,129.0234633,35.22924789,13.65402269,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
97,26320,북구,2285,177.3271752,129.0234633,35.22924789,13.65402269,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
98,26320,북구,2285,177.3271752,129.0234633,35.22924789,13.65402269,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
99,26350,해운대구,2866,125.8109608,129.15359,35.19385512,11.90199182,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
100,26350,해운대구,2866,125.8109608,129.15359,35.19385512,11.90199182,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
101,26350,해운대구,2866,125.8109608,129.15359,35.19385512,11.90199182,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
102,26380,사하구,1371,65.06207233,128.9738077,35.08887912,11.68310098,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
103,26380,사하구,1371,65.06207233,128.9738077,35.08887912,11.68310098,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
104,26380,사하구,1371,65.06207233,128.9738077,35.08887912,11.68310098,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
105,26410,금정구,4120,190.4413513,129.0915287,35.25889375,12.21730931,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
106,26410,금정구,4120,190.4413513,129.0915287,35.25889375,12.21730931,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
107,26410,금정구,4120,190.4413513,129.0915287,35.25889375,12.21730931,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
108,26440,강서구,390,34.96631413,128.8924006,35.13834787,5.944116133,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
109,26440,강서구,390,34.96631413,128.8924006,35.13834787,5.944116133,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
110,26440,강서구,390,34.96631413,128.8924006,35.13834787,5.944116133,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
111,26470,연제구,301,65.20944106,129.0829353,35.18241798,7.869059682,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
112,26470,연제구,301,65.20944106,129.0829353,35.18241798,7.869059682,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
113,26470,연제구,301,65.20944106,129.0829353,35.18241798,7.869059682,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
114,26500,수영구,244,48.06433188,129.1112017,35.16130754,7.771377246,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
115,26500,수영구,244,48.06433188,129.1112017,35.16130754,7.771377246,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
116,26500,수영구,244,48.06433188,129.1112017,35.16130754,7.771377246,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
117,26530,사상구,1248,93.66067292,128.9865924,35.15803097,9.224401155,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
