SIG_CD,distance,time,forest,season,NUMPOINTS,x,y
41500,0.9775352733423897,201910,16460.0,1,0,127.4810141,37.20977588
41500,0.9775352733423897,201911,16460.0,1,0,127.4810141,37.20977588
41500,0.9775352733423897,201912,16460.0,1,0,127.4810141,37.20977588
41550,1.0939210090993776,201910,23711.0,1,0,127.3027223,37.03502705
41550,1.0939210090993776,201911,23711.0,1,0,127.3027223,37.03502705
41550,1.0939210090993776,201912,23711.0,1,0,127.3027223,37.03502705
41570,0.638472301444446,201910,6714.0,1,0,126.6264306,37.68177237
41570,0.638472301444446,201911,6714.0,1,0,126.6264306,37.68177237
41570,0.638472301444446,201912,6714.0,1,0,126.6264306,37.68177237
41590,0.971220492811238,201910,17350.0,1,0,126.8748587,37.16523514
41590,0.971220492811238,201911,17350.0,1,0,126.8748587,37.16523514
41590,0.971220492811238,201912,17350.0,1,0,126.8748587,37.16523514
41610,0.734977880517328,201910,28194.0,1,0,127.301176,37.40309074
41610,0.734977880517328,201911,28194.0,1,0,127.301176,37.40309074
41610,0.734977880517328,201912,28194.0,1,0,127.301176,37.40309074
41630,0.3171459823853403,201910,15972.0,1,0,127.0011349,37.80865756
41630,0.3171459823853403,201911,15972.0,1,0,127.0011349,37.80865756
41630,0.3171459823853403,201912,15972.0,1,0,127.0011349,37.80865756
41650,0.20558090925679706,201910,53199.0,1,0,127.2503373,37.96977801
41650,0.20558090925679706,201911,53199.0,1,0,127.2503373,37.96977801
41650,0.20558090925679706,201912,53199.0,1,0,127.2503373,37.96977801
41670,0.9581797148970526,201910,28420.0,1,0,127.6157373,37.30245842
41670,0.9581797148970526,201911,28420.0,1,0,127.6157373,37.30245842
41670,0.9581797148970526,201912,28420.0,1,0,127.6157373,37.30245842
41800,0.0774925165932869,201910,36954.0,1,7,127.0244564,38.09272995
41800,0.0774925165932869,201911,36954.0,1,2,127.0244564,38.09272995
41800,0.0774925165932869,201912,36954.0,1,9,127.0244564,38.09272995
41820,0.45568160294075954,201910,68332.0,1,0,127.4501921,37.81843317
41820,0.45568160294075954,201911,68332.0,1,0,127.4501921,37.81843317
41820,0.45568160294075954,201912,68332.0,1,0,127.4501921,37.81843317
41830,0.7616379308303043,201910,61340.0,1,0,127.5792645,37.51805585
41830,0.7616379308303043,201911,61340.0,1,0,127.5792645,37.51805585
41830,0.7616379308303043,201912,61340.0,1,0,127.5792645,37.51805585
42110,0.6766986205194152,201910,68020.0,1,0,127.7398684,37.88979679
42110,0.6766986205194152,201911,68020.0,1,0,127.7398684,37.88979679
42110,0.6766986205194152,201912,68020.0,1,0,127.7398684,37.88979679
42130,1.1536718656080593,201910,60704.0,1,0,127.9295253,37.30822288
42130,1.1536718656080593,201911,60704.0,1,0,127.9295253,37.30822288
42130,1.1536718656080593,201912,60704.0,1,0,127.9295253,37.30822288
42150,1.7781608148936197,201910,82654.0,1,0,128.8323789,37.70910197
42150,1.7781608148936197,201911,82654.0,1,0,128.8323789,37.70910197
42150,1.7781608148936197,201912,82654.0,1,0,128.8323789,37.70910197
42170,2.0465645080140145,201910,13635.0,1,0,129.0556276,37.50671982
42170,2.0465645080140145,201911,13635.0,1,0,129.0556276,37.50671982
42170,2.0465645080140145,201912,13635.0,1,0,129.0556276,37.50671982
42190,2.1009357433559885,201910,26713.0,1,0,128.9800726,37.17231241
42190,2.1009357433559885,201911,26713.0,1,0,128.9800726,37.17231241
42190,2.1009357433559885,201912,26713.0,1,0,128.9800726,37.17231241
42210,1.4210833095610098,201910,7957.0,1,0,128.5195484,38.17603115
42210,1.4210833095610098,201911,7957.0,1,0,128.5195484,38.17603115
42210,1.4210833095610098,201912,7957.0,1,0,128.5195484,38.17603115
42230,2.1865989001096255,201910,102169.0,1,0,129.1218986,37.27744922
